imgname,x,y,w,h,distance,is_key_in
1748242655899.jpg,320,310,36,36,42.48,False
1748242658503.jpg,319,305,38,33,40.25,False
1748242721852.jpg,174,262,30,26,50.98,False
1748242734557.jpg,392,251,47,60,25.49,False
1748242735532.jpg,393,243,48,58,26.37,False
1748242739885.jpg,187,260,57,58,26.37,False
1748242778221.jpg,292,155,170,171,8.94,False
1748242781166.jpg,293,154,169,172,8.89,False
1748242785054.jpg,36,163,131,150,10.2,False
1748242788683.jpg,458,164,136,159,9.62,False
1748242853949.jpg,218,197,163,167,9.16,False
1748242856590.jpg,216,199,165,167,9.16,False
1748242880591.jpg,276,208,142,150,10.2,True
1748242883724.jpg,258,197,132,140,10.92,True
1748243266851.jpg,309,183,85,81,17.99,False
1748243267394.jpg,309,183,83,80,18.43,False
1748243272227.jpg,187,189,181,184,8.31,False
1748243272723.jpg,185,187,182,182,8.4,False
1748243277715.jpg,189,197,132,147,10.4,False
1748243282020.jpg,282,240,117,113,13.07,False
1748243297059.jpg,202,252,178,164,8.59,True
1748243302851.jpg,267,223,190,213,7.18,True
1748243308388.jpg,186,193,196,199,7.69,True
1748243326658.jpg,221,207,202,203,7.53,False
1748243327058.jpg,219,206,203,204,7.5,False
1748243331219.jpg,219,201,144,161,9.5,False
1748243335026.jpg,237,243,150,154,9.93,False
1748243361956.jpg,266,229,201,187,7.61,True
1748243389380.jpg,287,225,110,115,13.3,True
1748243394885.jpg,172,249,176,180,8.5,True
