imgname,x,y,w,h,distance,real_distance,,,is_key_in
1748242655899.jpg,320,310,36,36,42.48,40,2.48,,FALSE
1748242658503.jpg,319,305,38,33,46.35,39.4,6.95,,FALSE
1748242721852.jpg,174,262,30,26,58.82,40.2,18.62,,FALSE
1748242734557.jpg,392,251,47,60,32.54,34.8,-2.26,,FALSE
1748242735532.jpg,393,243,48,58,31.86,34.6,-2.74,,FALSE
1748242739885.jpg,187,260,57,58,26.83,34.4,-7.57,,FALSE
1748242778221.jpg,292,155,170,171,9,11.6,-2.6,,FALSE
1748242781166.jpg,293,154,169,172,9.05,11.6,-2.55,,FALSE
1748242785054.jpg,36,163,131,150,11.67,17.8,-6.13,,FALSE
1748242788683.jpg,458,164,136,159,11.25,14.4,-3.15,,FALSE
1748242853949.jpg,218,197,163,167,9.38,13.2,-3.82,,FALSE
1748242856590.jpg,216,199,165,167,9.27,13,-3.73,,FALSE
1748242880591.jpg,276,208,142,150,10.77,16.4,-5.63,,TRUE
1748242883724.jpg,258,197,132,140,11.59,18.4,-6.81,,TRUE
1748243266851.jpg,309,183,85,81,18.88,29.4,-10.52,,FALSE
1748243267394.jpg,309,183,83,80,19.12,29.4,-10.28,,FALSE
1748243272227.jpg,187,189,181,184,8.45,10.6,-2.15,,FALSE
1748243272723.jpg,185,187,182,182,8.4,10,-1.6,,FALSE
1748243277715.jpg,189,197,132,147,11.59,17,-5.41,,FALSE
1748243282020.jpg,282,240,117,113,13.53,23.2,-9.67,,FALSE
1748243297059.jpg,202,252,178,164,9.33,12.8,-3.47,,TRUE
1748243302851.jpg,267,223,190,213,8.05,4.4,3.65,,TRUE
1748243308388.jpg,186,193,196,199,7.8,7.4,0.4,,TRUE
1748243326658.jpg,221,207,202,203,7.57,6.4,1.17,,FALSE
1748243327058.jpg,219,206,203,204,7.53,6.2,1.33,,FALSE
1748243331219.jpg,219,201,144,161,10.62,13.4,-2.78,,FALSE
1748243335026.jpg,237,243,150,154,10.2,16.2,-6,,FALSE
1748243361956.jpg,266,229,201,187,8.18,6.8,1.38,,TRUE
1748243389380.jpg,287,225,110,115,13.9,21.8,-7.9,,TRUE
1748243394885.jpg,172,249,176,180,8.69,13.6,-4.91,,TRUE
